s.n,Headlines,sentiment
136,"Nepal elections: Voter turnout restricted to 61%, voting rescheduled at 15 stations",0
137,Biplav Maoist cadres try to foil elections in Chitwan; voting obstructed at a centre,0
138,Vote count from 9 pm Sunday: CEC Thapaliya,1
139,"Nepal goes to vote today to elect federal, provincial parliaments, governments",1
140,How not to make your votes invalid while voting: 8 points to remember,0
141,How to vote today? Here’s a step-by-step guide,1
142,How Nepal’s parliamentary elections are different from local ones? 3 key points everyone should know,1
143,How are political student unions working for the Nepal elections 2022? ,0
144,Nepal elections in the age of social media: Here are crucial concerns,0
145,Nepal elections: Why youth’s reluctance to vote is a bad idea,0
146,Nepal elections: Get ready for a slow vote count yet again,1
147,Nepalgunj reports another minor explosion on election eve,0
148,Nepal elections: Candidates wrapping up campaigns as ‘static time’ begins tonight,0
149,Is Gagan Thapa becoming the Nepal PM after the elections?,0
150,Bhojpur: Minor explosion near the ruling parties’ electioneering event,0
151,Citizenship bill dispute: President says she used veto as the bill was against the nation,0
152,7 families to field more than 1 candidate for Nepal elections 2022,1
153,Gandaki: Minister Kumar Khadka sacked on the charge of acting against the ruling alliance,0
154,Looking at home from afar: Right to vote for Nepali migrants working in Malaysia,1
155,"It’s time to break the barrier to Nepal’s development by electing young, dynamic leaders",1
156,Election Commission informs Kathmandu-based diplomats about election preparations,1
157,Toshima Karki candidacy controversy: Supreme Court says go ahead,1
158,"With voting 6 days away, several disputes about past election results are still gathering dust at the apex court",0
159,Education in Nepal elections: Old promises retold fail to win stakeholders’ trust,0
160,Nepali politics in the post-truth era: Why are the effective lasting longer?,1
161,No Not Again: Supreme Court says it’s an example of freedom of expression,0
162,Nepal elections: Know the top 10 contenders and their key opponents,0
163,Reykjavik Global Forum: President Bhandari meets several leaders in Iceland,1
164,"Election Commission: Decide in haste, revoke at leisure is the golden rule before elections",0
165,Rastriya Swatantra Party told not to use bells in its campaigns,1
166,Birodh Khatiwada assaulted during election campaign in Makawanpur,0
167,"CIAA files 124 appeals for revision to Special Court verdicts, 84 more than original lawsuits, in 4 months",0
168,Gandaki CM removes Minister Acharya as he campaigns against the ruling alliance,0
169,President Bhandari in Iceland to attend Reykjavík Global Forum – Women Leaders,1
170,"Absentee voting is essential in Nepal given the migrants’ contribution, but authorities are uninterested",1
171,Climate change in Nepal elections: Why are stakeholders happy about hollow promises ?,1
172,Supreme Court: Don’t take action against No Not Again,0
173,Election Commission fines Kathmandu ward chair for violating code of conduct,0
174,Election Commission completes printing ballot papers for Nov 20 elections,1
175,"Parliamentary committee: Limit the number of ministries to 15 at centre, 5 at province",0
176,100 voting centres to be disabled-friendly,0
177,President Bhandari to visit Mustang tomorrow,0
178,"Nepal sees corruption scandals quite frequently. Yet, why don’t parties put them on their election agenda?",1
179,India hands over 200 vehicles to Nepal as election assistance,0
180,Why do you need the right to reject (NOTA) in Nepal elections?,0
181,Biplav Maoists to foil November 20 elections,0
182,"Nepal’s electing lawmakers, but candidates promise physical infrastructure development and nothing else",1
183,November 20 elections: Ruling alliance makes public the list of its official candidates,0
184,Rastriya Swatantra Party to elect parliamentary party leader before general elections,1
185,"Dean R Thompson, new US envoy: Want to see Nepal as globally important country",1
186,Who is the prime ministerial candidate from the ruling alliance?,1
187,Election Commission warns against the mobilisation of children in electioneering,1
188,Election Commission tells police to take action against Madhav Kumar Nepal over election law breach,0
189,UML’s Shankar Pokhrel copying Nepali Congress manifesto cover for his election post,0
190,Janalokpal Aayog in Madhesh couldn’t settle a single case even by spending Rs 22 million,0
191,Nepal elections 2022: How regional parties are losing control over the Madhesh province,1
192,The curious case of Nepal’s reluctance to use electronic voting machines,0
193,BP Koirala’s socialism: What Nepal needs now for the dream to materialise,1
194,"UML expels Prabhu Sah, dissolves Rautahat party committee that supported him",0
195,Madhesh CM removes 3 Nepali Congress ministers to avenge JSPN ministers’ ouster at centre,0
196,Corruption and crime accused can contest Nepal elections but can’t take up positions: The loophole explained,1
197,Ruling alliance to back ‘UML rebel’ Prabhu Sah in Rautahat,1
198,"Nepal in UN votes in favour of Ukraine, against Russia",1
199,"Writ petition demands poll nominations of Bijaya Gachhadar, Bikram Pandey among 9 cancelled",0
200,Election Commission prohibits pre-poll surveys to predict election results,0
201,"With imprudent candidate selection, party leaders frustrate the public and experts alike",0
202,UML backs Nepali Congress rebel candidate in Chitwan 3,0
203,Deepak Manange elected Gandaki Provincial Assembly member unopposed,1
204,"Resham Chaudhary, Laxman Tharu barred from contesting elections",1
205,JSPN ministers getting sacked for their alliance with the UML,1
206,"Nepal is a secular country, but it has some anti-secular laws. It should change now",1
207,Nepal elections: It’s time parties held primaries to pick candidates to save democracy from themselves,0
208,Reviewing federalism in Nepal in the context of Madhesh,1
209,Deepak Manange gets UML support to fight election again,1
210,Planning Commission’s vice-chairman Biswo Poudel resigns to contest Chitwan election,0
211,"Candidates filing nominations for House of Representatives, provincial assembly elections on Sunday",1
212,"Interest groups run Nepal’s parliament, and it’s jeopardising democracy",1
213,"Nepal PM lives in a posh capital locality, but his Dadeldhura constituency is the epitome of underdevelopment",1
214,Gyanendra Shah uses early Dashain greetings to share people’s frustration with parties,0
215,Bibeksheel Sajha prepares to welcome Milan Pandey after Rabindra Mishra’s exit,0
216,Baburam Bhattarai may not contest the November election,1
217,Rabindra Mishra joins Rastriya Prajatantra Party as senior vice-chairperson,1
218,November 20 election code of conduct comes into effect from today,1
219,US Assistant Secretary Elizabeth Kennedy Trudeau visiting Nepal,0
220,"Rabindra Mishra officially leaves Bibeksheel Sajha, to join RPP in a day or two",1
221,Minister Pradeep Yadav off to the US to attend Global Methane Climate Clean Air Forum,0
222,"Show-cause notice in response to petition filed against speaker, deputy speaker",1
223,Supreme Court tells the president to give reasons for rejecting the citizenship bill,0
224,"Pokhara city starts crackdown on unapproved buildings, but its own office is never approved",0
225,"Proportional representation parliamentary seats, meant for the marginalised, are being captured by the powerful in Nepal",0
226,Writ petition demands positions of House speaker and deputy speaker declared void,1
227,European parliamentarians coming to Kathmandu on a 2-day visit,0
228,Citizenship bill dispute: Vice-president comments even the president can’t go beyond the constitutional limits,1
229,Commission establishes returning officer’s office in each constituency for November 20 elections,1
230,Constitution of Nepal turns 7. Here are 7 key attacks it survived from people fighting for it,1
231,A lot of questions about the president’s role as she refuses to enact the citizenship bill,0
232,Writ petition demands the president put on hold the citizenship bill,1
233,Here’s why Nepal opposition leader KP Sharma Oli is unpopular among indigenous people in his constituency,1
234,Patan High Court tells Kathmandu not to demolish buildings encroaching on the Tukucha river,0
235,Election Commission: Parties have to field women for at least 33% of the FPTP candidates,1
236,Govt panel says Nijgadh is the best option for the next international airport,1
237,Election procedures for the next House of Representatives and provincial assemblies begin today,1
238,"A divided panel forwards CJ Rana’s impeachment motion to House, but it will never be put to vote",0
239,Has Nepal never been colonised?,0
240,House of Representatives to expire Saturday,0
241,Nepal to decide about participation in Indian Army’s Agnipath after Nov elections only,1
242,Foreign Minister Khadka to attend British Queen Elizabeth’s funeral,1
243,"Li Zhanshu visits Bhaktapur, will meet president today",1
244,House panel to summon some people named and shamed by Cholendra Shamsher Rana,1
245,Chinese Speaker Li Zhanshu busy meeting officials,0
246,Chinese Speaker Li Zhanshu in Kathmandu on a 4-day official visit,1
247,Suspended CJ praises KP Sharma Oli and Bishnu Paudel over a suspicious deal*,0
248,Nepal President Bhandari visits British Embassy to pay homage to Queen Elizabeth II,0
249,Hearing panel devising a fast track to okay 3 new Supreme Court justices,1
250,US diplomat Elizabeth Horst in Kathmandu to attend climate conference,0
251,Govt withdraws from proposal to extend the term of House of Representatives,1
252,Citizenship bill reaches the president again. No one knows what she’ll do next,0
253,Home minister tells CDO to release security guard arrested for asking tourism minister wait in a queue,1
254,Indian Army chief Manoj Pande conferred the honorary rank of Nepal Army general,1
255,2 French lawmakers visiting Nepal at Madhav Kumar Nepal’s invitation,1
256,Rajendra Lingden resigns as lawmaker after govt prepares to extend the House term,1
257,Ranjan Koirala verdict: Suspended CJ Rana says he regrets cutting the sentence short,0
258,Chinese Speaker Li Zhanshu’s Nepal visit: What’s on the agenda?,0
259,President is in a tight spot as both houses endorse the citizenship bill unchanged,0
260,National Assembly to elect thematic committee chairs on Thursday,1
261,Province 1 assembly dissolving itself for the next elections before naming the province,1
262,"Nepal parliamentarians prioritise populism than anything else, and it’s costing democracy",1
263,Cholendra Shamsher Rana impeachment: Suspended CJ questions back the House panel,1
264,House panel to continue quizzing Cholendra Shamsher Rana on Thursday also,1
265,"Hetaunda city to give Nepali Congress union Rs 1 million, and sari allowance to female representatives",0
266,Is Kul Man Ghising eyeing a parliamentary seat? Does the Maoist Centre want so?,1
267,"Rabindra Mishra plans to join RPP to contest polls, also expects UML backing",0
268,Balen Shah’s bulldozing waltz: How shall it go ahead?,1
269,Kathmandu mayor faces contempt of court charge at the Supreme Court,0
270,National Assembly sends citizenship bill to Legislation Committee,0
271,Home minister wants schools to teach kids about cybercrime,1
272,House calls for complaints against Cholendra Shamsher Rana. File them in next 3 days if you have any,1
273,Ruling alliance: President’s recent activities are politically motivated,0
274,Nepal asks India not to recruit Gurkhas under the new Agnipath scheme,1
275,Is President Bidya Devi Bhandari resigning over citizenship bill row?,1
276,Sher Bahadur Deuba hasn’t lost any election since 1990. What about this time?,0
277,Cholendra Shamsher Rana impeachment motion: House panel to quiz him on Aug 31,1
278,Balen Shah directs Kathmandu school teachers to not get involved in party politics,0
279,Kathmandu street vendors launch protest against the city government,1
280,Using the national flag during electioneering could be legal from now onwards,0
281,Maoist Centre and Unified Socialist will have a common manifesto for the November elections,0
282,Nepali Congress to mourn Pradip Giri’s death for 13 days,1
283,Jhala Nath Khanal may become the president if the Nepali Congress-led alliance wins majority,1
284,CPN-Maoist Centre gets party officials 9 months after the convention. Here’s the list,0
285,"Pradip Giri, a Nepali Congress intellectual, is no more",1
286,House endorses the citizenship bill rejecting the president’s call for reconsideration,1
287,Dahal finalises CPN-Maoist Centre top officials. Here’s the list,0
288,Rabi Lamichhane’s party won’t contest provincial elections,0
289,How Nepal power centres are transfusing dirty politics into already problematic prison management,1
290,Ruling alliance: Won’t revise the citizenship bill as it was the president’s political move,1
291,"Deuba promises early police adjustment, convinces Madhesh CM, ministers to end protests",0
292,Activists demand at least 50% of the candidates are youth in November elections,1
293,Bamdev Gautam also using Maoist Centre’s symbol to contest November elections,0
294,Hridayesh Tripathi likely to contest election in the UML’s alliance once again,1
295,Samikchya Baskota appointed Bibeksheel Sajha Party chairperson,0
296,"President suggests revision to citizenship bill, sends back to parliament",1
297,"Madhesh CM, ministers stage protest against the federal government over police adjustment law",1
298,Baburam Bhattarai’s party borrowing Maoist Centre’s symbol to contest the November elections,1
299,Next general elections will cost the country Rs 10 billion: Commission,0
